Neighborhood,MURDER,RAPE,ARMED_ROBBERY,ST/ARM_ROBBERY,ASAULT_AGGRVD,CRM TL_VIOLENT,RESID_BURGLARY,NRESID_BURGLARY,TOTAL_BURGLARY,'$400+_THEFT,<$400_THEFT,TOTAL_THEFT,THEFT_M.VEH,CRM TL_PROPERTY,IDX TL_CRIME,PROWL_CAR
ADAMS NORTH,0.00,0.17,0.17,0.17,1.37,1.88,0.51,0.68,1.20,6.84,4.79,11.63,2.74,15.56,17.44,5.64
ALLIED GARDENS,0.00,0.16,0.41,0.16,0.82,1.55,1.39,0.90,2.29,5.07,5.15,10.22,3.27,15.78,17.33,6.46
ALTA VISTA,0.00,0.36,0.00,0.00,1.42,1.78,0.00,0.00,0.00,1.42,1.42,2.84,0.36,3.20,4.98,1.78
AZALEA/HOLLYWOOD PARK,0.00,0.59,0.30,0.30,4.75,5.93,2.37,0.30,2.67,3.26,4.15,7.41,6.52,16.61,22.54,3.56
BALBOA PARK,4.90,4.90,9.80,2.45,63.73,85.79,0.00,24.51,24.51,95.59,61.28,156.86,36.77,218.14,303.92,90.69
BARRIO LOGAN,0.25,0.57,0.82,0.66,7.13,9.43,0.57,1.72,2.30,4.59,4.51,9.10,6.23,17.62,27.05,3.77
BAY HO,0.00,0.24,0.00,0.00,1.82,2.05,0.55,1.97,2.53,4.81,3.08,7.89,2.05,12.47,14.52,3.87
BAY PARK,0.00,0.22,0.17,0.28,1.67,2.34,1.67,1.06,2.73,5.86,4.52,10.38,2.96,16.07,18.41,5.52
BAY TERRACES,0.07,0.14,0.21,0.10,2.09,2.61,0.41,0.00,0.41,2.27,1.27,3.54,2.57,6.52,9.13,2.57
BIRDLAND,0.00,1.24,0.00,0.71,3.71,5.66,1.06,0.71,1.77,7.78,4.25,12.03,3.01,16.81,22.47,7.78
BLACK MOUNTAIN RANCH,0.00,0.31,0.16,0.00,0.39,0.86,0.94,0.31,1.25,2.19,1.72,3.91,0.31,5.48,6.34,0.78
BORDER,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BROADWAY HEIGHTS,0.00,0.00,0.00,0.00,0.00,0.00,1.91,0.00,1.91,3.82,3.82,7.65,1.91,11.47,11.47,3.82
BURLINGAME,0.00,0.00,0.00,0.00,0.00,0.00,2.45,0.00,2.45,8.56,7.34,15.89,2.45,20.78,20.78,11.00
CARMEL MOUNTAIN,0.00,0.26,0.17,0.60,0.94,1.96,0.34,1.53,1.87,9.61,7.57,17.17,1.36,20.40,22.36,4.42
CARMEL VALLEY,0.00,0.11,0.02,0.00,0.29,0.42,0.74,0.49,1.24,4.83,2.55,7.38,0.99,9.61,10.03,3.60
CASTLE,0.21,0.21,0.73,0.10,4.91,6.17,1.05,0.31,1.36,4.50,3.35,7.84,6.27,15.47,21.64,3.55
CHEROKEE POINT,0.00,0.18,0.71,0.71,3.74,5.34,0.89,0.18,1.07,4.81,2.31,7.12,5.52,13.71,19.05,3.21
CHOLLAS CREEK,0.00,0.63,0.21,-0.21,8.21,8.84,1.47,0.84,2.32,4.63,3.79,8.42,8.00,18.74,27.58,5.68
CHOLLAS VIEW,0.00,0.74,0.74,0.49,7.90,9.87,0.74,1.73,2.47,3.21,2.72,5.92,5.92,14.32,24.19,3.21
CLAIREMONT MESA EAST,0.00,0.54,0.38,0.65,1.80,3.36,0.57,0.73,1.30,5.77,6.38,12.16,2.26,15.71,19.08,4.89
CLAIREMONT MESA WEST,0.00,0.10,0.10,0.20,0.92,1.33,1.43,0.10,1.53,3.67,2.65,6.32,1.84,9.69,11.01,3.57
COLINA DEL SOL,0.00,0.88,0.09,0.62,7.04,8.63,1.50,0.44,1.94,2.90,2.73,5.63,8.10,15.67,24.29,3.26
COLLEGE AREA EAST,0.00,0.38,0.19,0.19,3.32,4.08,2.47,0.28,2.75,6.93,5.22,12.15,4.18,19.08,23.17,6.08
COLLEGE AREA WEST,0.00,0.25,0.17,0.25,1.10,1.78,1.86,0.00,1.86,5.41,5.50,10.91,2.28,15.06,16.84,6.43
CORE-COLUMBIA,0.26,1.14,1.32,2.29,11.71,16.73,2.20,2.38,4.58,16.82,11.27,28.09,9.60,42.27,59.00,12.33
CORRIDOR,0.00,0.12,0.47,0.00,3.31,3.90,1.30,0.47,1.77,5.31,4.49,9.80,4.84,16.42,20.31,4.37
CORTEZ,0.00,1.26,0.42,1.46,5.86,9.00,3.14,0.84,3.97,8.58,10.88,19.46,4.18,27.62,36.61,9.83
DEL CERRO,0.00,0.26,0.13,0.26,0.79,1.44,1.18,0.26,1.44,3.54,3.67,7.20,3.14,11.79,13.23,4.58
DEL MAR HEIGHTS,0.00,0.45,0.15,0.15,0.45,1.20,0.60,0.90,1.50,6.74,4.19,10.93,1.05,13.48,14.68,7.19
EAST VILLAGE,0.19,1.78,0.42,1.83,11.58,15.80,1.92,1.31,3.23,13.22,8.48,21.70,7.78,32.71,48.51,10.03
EGGER HIGHLANDS,0.00,0.77,1.32,0.55,3.86,6.51,0.22,0.88,1.10,3.53,6.18,9.70,3.09,13.90,20.40,2.54
EL CERRITO,0.00,0.54,0.54,0.91,9.07,11.06,2.00,2.00,3.99,8.89,5.44,14.33,8.53,26.85,37.91,5.80
EMERALD HILLS,0.55,0.55,0.27,0.27,4.09,5.73,1.91,0.27,2.18,4.09,1.09,5.18,4.64,12.00,17.73,3.27
ENCANTO,0.00,0.71,0.12,0.00,3.45,4.28,0.48,0.60,1.07,2.38,1.79,4.17,3.33,8.57,12.85,1.67
